id,topic,sentiment_label,text,clean_text,AI_Sentiment
4926,GrandTheftAuto(GTA),Irrelevant,Looks to me like he failed to check out the way of moving vehicle that clearly had the right of way. Guess by stupidity is on him...,looks to me like he failed to check out the way of moving vehicle that clearly had the right of way guess by stupidity is on him,Negative
11709,Verizon,Irrelevant,"Wow, it takes all sorts of crazy people out there, and her language proved she's not a lady.",wow it takes all sorts of crazy people out there and her language proved shes not a lady,Negative
9020,Nvidia,Neutral,Nvidia Unveils The World’s Fastest Gaming Monitor - breakingnewspak.com/nvidia-unveils…  ,nvidia unveils the worlds fastest gaming monitor  breakingnewspakcomnvidiaunveils,Neutral
8295,Microsoft,Neutral,Huge radio play here. Reinvention / Corporate Evolution History of Microsoft Microsoft? bloomberg. dot com / opinion / articl …,huge radio play here reinvention  corporate evolution history of microsoft microsoft bloomberg dot com  opinion  articl,Positive
1604,CallOfDutyBlackopsColdWar,Negative,SO I HAPPY WHO ABOUT THIS.,so i happy who about this,Positive
1163,AssassinsCreed,Positive,It looks so fucking amazing,it looks so fucking amazing,Positive
700,ApexLegends,Neutral,I'm back!,im back,Neutral
1407,Battlefield,Negative,"Huh, I actually was wondering why if they weren't any ribbons in",huh i actually was wondering why if they werent any ribbons in,Neutral
5716,HomeDepot,Negative,@HomeDepot I slightly... hate y ’ all this for wasting my time at 2 local stores this morning,i slightly hate y  all this for wasting my time at  local stores this morning,Negative
2329,CallOfDuty,Positive,Good little session on COD earlier - absolutely beaming people,good little session on cod earlier  absolutely beaming people,Positive
4597,Google,Negative,<unk> im mf bing,unk im mf bing,Neutral
5168,GrandTheftAuto(GTA),Neutral,"* I get stolen by a flying motorcycle in gta *. ""Are you a new player?"" ""It's a shame, I need money and our motorcycle."" ""Where are our $1 million?"" ""Yes, I just spend it on my fancy dress and a lot of tattoos.""",i get stolen by a flying motorcycle in gta  are you a new player its a shame i need money and our motorcycle where are our  million yes i just spend it on my fancy dress and a lot of tattoos,Positive
12780,WorldOfCraft,Neutral,my,my,Neutral
2537,Borderlands,Neutral,Even tho i out leveled this monster it’s still changing everything along my path. Check it out: youtu.be/wpdGr4PH8Lo,even tho i out leveled this monster its still changing everything along my path check it out youtubewpdgrphlo,Neutral
3063,Dota2,Positive,The Cool Part,the cool part,Positive
9094,Nvidia,Positive,No Yo. The NVIDIA showing me was crazy.,no yo the nvidia showing me was crazy,Negative
4920,GrandTheftAuto(GTA),Negative,They just now making this shit,they just now making this shit,Negative
2253,CallOfDuty,Irrelevant,I want to give have go out to Chris she is absolutely the bomb and a great assist to not only CES but any TCS district. Christine has go waaaay beyond beyond call of duty to the 3rd grade tech savvy. Dr @MrsWtech @DOCSFIVE,i want to give have go out to chris she is absolutely the bomb and a great assist to not only ces but any tcs district christine has go waaaay beyond beyond call of duty to the rd grade tech savvy dr,Positive
11213,TomClancysRainbowSix,Neutral,Boy oh boy do I love kaid shotty.. •. •. •. •. •. •. •. •. •. •. •. •. •. •. •. •. •. •. •. •.,boy oh boy do i love kaid shotty,Positive
9096,Nvidia,Positive,Think this is the best time to upgrade my gpu. The new NVIDIA gpus 🤤🤤,think this is the best time to upgrade my gpu the new nvidia gpus,Positive
2289,CallOfDuty,Negative,A clip that shit.,a clip that shit,Negative
7637,MaddenNFL,Negative,@ EAMaddenNFL @ EASPORTS _ MUT just ignores all the regular complaints about the game all year round and then takes to Twitter to say how proud of TAL's user base of 20 million like jackals.,eamaddennfl  easports  mut just ignores all the regular complaints about the game all year round and then takes to twitter to say how proud of tals user base of  million like jackals,Negative
3630,Cyberpunk2077,Positive,@ CyberpunkGame November 19th 2020 release date or will it be push back again. Just curious because I loved Witcher 3 bought it 3 times 2 for PC and a ps4. Plan to do the same with Cyberpunk 2077,cyberpunkgame november th  release date or will it be push back again just curious because i loved witcher  bought it  times  for pc and a ps plan to do the same with cyberpunk,Positive
10949,TomClancysGhostRecon,Positive,Was good fun watching Wolves get torn right apart both by the new Terminators..,was good fun watching wolves get torn right apart both by the new terminators,Positive
6300,FIFA,Negative,I really fucking hate ea. Fifa 20 worst gameplay of all time,i really fucking hate ea fifa  worst gameplay of all time,Negative
505,ApexLegends,Neutral,Solo and when shit fucking rages - Part 2.. reviews.playstation.com/,solo and when shit fucking rages  part  reviewsplaystationcom,Negative
4726,Google,Neutral,"[Stupid, stupid, stupid! We let smarter, cheaper and faster rivals do that. @ TCL @ ONN] @ Google, @ Apple, @ Amazon @ Samsung @ Sony Home-bound users smoke because video apps don't sync with televisions. news.trust.org / item / 202003252...",stupid stupid stupid we let smarter cheaper and faster rivals do that  tcl  onn  google  apple  amazon  samsung  sony homebound users smoke because video apps dont sync with televisions newstrustorg  item,Negative
13040,Xbox(Xseries),Irrelevant,"Death Tales gif won the day,",death tales gif won the day,Neutral
2649,Borderlands,Neutral,ENTIRE SANIC FRANCHISE PLAYTHROUBEGINS TOMORROW!.. Rn Seho ly transfer randomisation: tch.tv / letofski oh and also im dying my hair blue with some randomass Borderlands hair care I found (sponsor my hair. @ Pez _ Bro. you ward),entire sanic franchise playthroubegins tomorrow rn seho ly transfer randomisation tchtv  letofski oh and also im dying my hair blue with some randomass borderlands hair care i found sponsor my hair  pez  bro you ward,Neutral
12407,WorldOfCraft,Neutral,just just earned the [The Second Threat] Achievement!,just just earned the the second threat achievement,Neutral
2469,Borderlands,Positive,"Perfect casting powers Lilith, most anticipated film",perfect casting powers lilith most anticipated film,Positive
8984,Nvidia,Neutral,Early adopters get arsed once again.. by As I've promised that the low price older tags will come off with at good a price.. which Gigabyte confirms. Question who needs 16 GB or 20GB a VRAM? If you want to use... it some years at 4k a makes sense. @WSV_GUY.,early adopters get arsed once again by as ive promised that the low price older tags will come off with at good a price which gigabyte confirms question who needs  gb or gb a vram if you want to use it some years at k a makes sense,Positive
6533,Fortnite,Irrelevant,I love how lonely we all are.,i love how lonely we all are,Positive
5008,GrandTheftAuto(GTA),Positive,just won another luxury car on the gta,just won another luxury car on the gta,Neutral
8693,NBA2K,Irrelevant,This is GREAT BRITAIN because now @ espn has nothing to do with what can be reported or shown...,this is great britain because now  espn has nothing to do with what can be reported or shown,Positive
3034,Dota2,Positive,Nothing better than the cool design of your favorite. teespring.com / wolfs-need-no-.....,nothing better than the cool design of your favorite teespringcom  wolfsneedno,Positive
